Name,Generation,Pathway,C0_uM,AUC_uM_h,k_elim_per_h
Donepezil,0,parent,26.3505,430.0132,0.0345
M0_CYP3A4,1,CYP3A4,6.5876,137.9372,0.0116
M0_CYP2D6,1,CYP2D6,3.2938,70.353,0.0099
M0_CYP1A2,1,CYP1A2,1.9763,46.391,0.0019
M0_UGT1A1,1,UGT1A1,1.3175,31.4979,0.0003
M0_CYP2C9,1,CYP2C9,1.3175,30.9273,0.0019
M0_MAO-A,1,MAO-A,0.6588,15.7374,0.0004
M0_SULT1A1,1,SULT1A1,0.6588,15.6517,0.0008
M1_CYP3A4,2,CYP3A4,1.6469,38.0511,0.0032
M1_CYP3A4,2,CYP3A4,0.8235,19.3835,0.0016
M1_CYP2D6,2,CYP2D6,0.8235,19.0584,0.003
M1_CYP1A2,2,CYP1A2,0.4941,11.7888,0.0005
M1_CYP3A4,2,CYP3A4,0.4941,11.7196,0.001
M1_CYP2D6,2,CYP2D6,0.4117,9.6962,0.0016
M1_UGT1A1,2,UGT1A1,0.3294,7.8974,0.0001
M1_CYP2C9,2,CYP2C9,0.3294,7.8592,0.0005
M1_CYP3A4,2,CYP3A4,0.3294,7.8434,0.0007
M1_CYP3A4,2,CYP3A4,0.3294,7.8434,0.0007
M1_CYP1A2,2,CYP1A2,0.247,5.9115,0.0002
M1_CYP2D6,2,CYP2D6,0.247,5.8608,0.001
M1_UGT1A1,2,UGT1A1,0.1647,3.9506,0.0
M1_MAO-A,2,MAO-A,0.1647,3.9479,0.0001
M1_SULT1A1,2,SULT1A1,0.1647,3.9423,0.0002
M1_CYP2C9,2,CYP2C9,0.1647,3.941,0.0002
M1_CYP3A4,2,CYP3A4,0.1647,3.937,0.0003
M1_CYP3A4,2,CYP3A4,0.1647,3.937,0.0003
M1_CYP2D6,2,CYP2D6,0.1647,3.922,0.0006
M1_CYP2D6,2,CYP2D6,0.1647,3.922,0.0006
M1_CYP1A2,2,CYP1A2,0.1482,3.551,0.0001
M1_UGT1A1,2,UGT1A1,0.0988,2.3708,0.0
M1_CYP1A2,2,CYP1A2,0.0988,2.3687,0.0001
M1_CYP1A2,2,CYP1A2,0.0988,2.3687,0.0001
M1_CYP2C9,2,CYP2C9,0.0988,2.3673,0.0001
M1_MAO-A,2,MAO-A,0.0823,1.9751,0.0
M1_SULT1A1,2,SULT1A1,0.0823,1.9737,0.0001
M1_CYP2D6,2,CYP2D6,0.0823,1.9686,0.0003
M1_CYP2D6,2,CYP2D6,0.0823,1.9686,0.0003
M1_UGT1A1,2,UGT1A1,0.0659,1.5807,0.0
M1_UGT1A1,2,UGT1A1,0.0659,1.5807,0.0
M1_CYP2C9,2,CYP2C9,0.0659,1.5792,0.0001
M1_CYP2C9,2,CYP2C9,0.0659,1.5792,0.0001
M1_MAO-A,2,MAO-A,0.0494,1.1853,0.0
M1_CYP1A2,2,CYP1A2,0.0494,1.1851,0.0
M1_CYP1A2,2,CYP1A2,0.0494,1.1851,0.0
M1_SULT1A1,2,SULT1A1,0.0494,1.1848,0.0001
M1_UGT1A1,2,UGT1A1,0.0329,0.7904,0.0
M1_UGT1A1,2,UGT1A1,0.0329,0.7904,0.0
M1_MAO-A,2,MAO-A,0.0329,0.7903,0.0
M1_MAO-A,2,MAO-A,0.0329,0.7903,0.0
M1_SULT1A1,2,SULT1A1,0.0329,0.7901,0.0
M1_SULT1A1,2,SULT1A1,0.0329,0.7901,0.0
M1_CYP2C9,2,CYP2C9,0.0329,0.79,0.0
M1_CYP2C9,2,CYP2C9,0.0329,0.79,0.0
M1_SULT1A1,2,SULT1A1,0.0165,0.3952,0.0
M1_MAO-A,2,MAO-A,0.0165,0.3952,0.0
M1_SULT1A1,2,SULT1A1,0.0165,0.3952,0.0
M1_MAO-A,2,MAO-A,0.0165,0.3952,0.0
M2_CYP3A4,3,CYP3A4,0.4117,9.7852,0.0008
M2_CYP3A4,3,CYP3A4,0.2059,4.9165,0.0004
M2_CYP3A4,3,CYP3A4,0.2059,4.9165,0.0004
M2_CYP2D6,3,CYP2D6,0.2059,4.8932,0.0008
M2_CYP1A2,3,CYP1A2,0.1235,2.9601,0.0001
M2_CYP3A4,3,CYP3A4,0.1235,2.9557,0.0002
M2_CYP3A4,3,CYP3A4,0.1235,2.9557,0.0002
M2_CYP3A4,3,CYP3A4,0.1029,2.4643,0.0002
M2_CYP2D6,3,CYP2D6,0.1029,2.4583,0.0004
M2_CYP2D6,3,CYP2D6,0.1029,2.4583,0.0004
M2_UGT1A1,3,UGT1A1,0.0823,1.9758,0.0
M2_CYP2C9,3,CYP2C9,0.0823,1.9734,0.0001
M2_CYP3A4,3,CYP3A4,0.0823,1.9724,0.0002
M2_CYP3A4,3,CYP3A4,0.0823,1.9724,0.0002
M2_CYP3A4,3,CYP3A4,0.0823,1.9724,0.0002
M2_CYP3A4,3,CYP3A4,0.0823,1.9724,0.0002
M2_CYP1A2,3,CYP1A2,0.0618,1.4811,0.0001
M2_CYP1A2,3,CYP1A2,0.0618,1.4811,0.0001
M2_CYP3A4,3,CYP3A4,0.0618,1.48,0.0001
M2_CYP3A4,3,CYP3A4,0.0618,1.48,0.0001
M2_CYP2D6,3,CYP2D6,0.0618,1.4779,0.0002
M2_CYP2D6,3,CYP2D6,0.0618,1.4779,0.0002
M2_CYP2D6,3,CYP2D6,0.0515,1.2321,0.0002
M2_UGT1A1,3,UGT1A1,0.0412,0.988,0.0
M2_UGT1A1,3,UGT1A1,0.0412,0.988,0.0
M2_MAO-A,3,MAO-A,0.0412,0.9878,0.0
M2_SULT1A1,3,SULT1A1,0.0412,0.9875,0.0001
M2_CYP2C9,3,CYP2C9,0.0412,0.9874,0.0001
M2_CYP2C9,3,CYP2C9,0.0412,0.9874,0.0001
M2_CYP3A4,3,CYP3A4,0.0412,0.9872,0.0001
M2_CYP3A4,3,CYP3A4,0.0412,0.9872,0.0001
M2_CYP3A4,3,CYP3A4,0.0412,0.9872,0.0001
M2_CYP3A4,3,CYP3A4,0.0412,0.9872,0.0001
M2_CYP3A4,3,CYP3A4,0.0412,0.9872,0.0001
M2_CYP3A4,3,CYP3A4,0.0412,0.9872,0.0001
M2_CYP3A4,3,CYP3A4,0.0412,0.9872,0.0001
M2_CYP3A4,3,CYP3A4,0.0412,0.9872,0.0001
M2_CYP2D6,3,CYP2D6,0.0412,0.9862,0.0002
M2_CYP2D6,3,CYP2D6,0.0412,0.9862,0.0002
M2_CYP2D6,3,CYP2D6,0.0412,0.9862,0.0002
M2_CYP2D6,3,CYP2D6,0.0412,0.9862,0.0002
M2_CYP1A2,3,CYP1A2,0.0371,0.8889,0.0
M2_CYP1A2,3,CYP1A2,0.0371,0.8889,0.0
M2_CYP3A4,3,CYP3A4,0.0371,0.8885,0.0001
M2_CYP1A2,3,CYP1A2,0.0309,0.7408,0.0
M2_CYP2D6,3,CYP2D6,0.0309,0.74,0.0001
M2_CYP2D6,3,CYP2D6,0.0309,0.74,0.0001
M2_UGT1A1,3,UGT1A1,0.0247,0.5928,0.0
M2_UGT1A1,3,UGT1A1,0.0247,0.5928,0.0
M2_CYP1A2,3,CYP1A2,0.0247,0.5927,0.0
M2_CYP1A2,3,CYP1A2,0.0247,0.5927,0.0
M2_CYP1A2,3,CYP1A2,0.0247,0.5927,0.0
M2_CYP1A2,3,CYP1A2,0.0247,0.5927,0.0
M2_CYP2C9,3,CYP2C9,0.0247,0.5926,0.0
M2_CYP2C9,3,CYP2C9,0.0247,0.5926,0.0
M2_CYP3A4,3,CYP3A4,0.0247,0.5925,0.0
M2_CYP3A4,3,CYP3A4,0.0247,0.5925,0.0
M2_CYP3A4,3,CYP3A4,0.0247,0.5925,0.0
M2_CYP3A4,3,CYP3A4,0.0247,0.5925,0.0
M2_MAO-A,3,MAO-A,0.0206,0.494,0.0
M2_MAO-A,3,MAO-A,0.0206,0.494,0.0
M2_UGT1A1,3,UGT1A1,0.0206,0.494,0.0
M2_SULT1A1,3,SULT1A1,0.0206,0.4939,0.0
M2_SULT1A1,3,SULT1A1,0.0206,0.4939,0.0
M2_CYP2C9,3,CYP2C9,0.0206,0.4939,0.0
M2_CYP3A4,3,CYP3A4,0.0206,0.4938,0.0
M2_CYP3A4,3,CYP3A4,0.0206,0.4938,0.0
M2_CYP3A4,3,CYP3A4,0.0206,0.4938,0.0
M2_CYP3A4,3,CYP3A4,0.0206,0.4938,0.0
M2_CYP2D6,3,CYP2D6,0.0206,0.4936,0.0001
M2_CYP2D6,3,CYP2D6,0.0206,0.4936,0.0001
M2_CYP2D6,3,CYP2D6,0.0206,0.4936,0.0001
M2_CYP2D6,3,CYP2D6,0.0206,0.4936,0.0001
M2_CYP2D6,3,CYP2D6,0.0206,0.4936,0.0001
M2_CYP2D6,3,CYP2D6,0.0206,0.4936,0.0001
M2_CYP2D6,3,CYP2D6,0.0206,0.4936,0.0001
M2_CYP2D6,3,CYP2D6,0.0206,0.4936,0.0001
M2_CYP1A2,3,CYP1A2,0.0185,0.4446,0.0
M2_CYP1A2,3,CYP1A2,0.0185,0.4446,0.0
M2_CYP2D6,3,CYP2D6,0.0185,0.4443,0.0001
M2_UGT1A1,3,UGT1A1,0.0165,0.3952,0.0
M2_UGT1A1,3,UGT1A1,0.0165,0.3952,0.0
M2_UGT1A1,3,UGT1A1,0.0165,0.3952,0.0
M2_UGT1A1,3,UGT1A1,0.0165,0.3952,0.0
M2_CYP2C9,3,CYP2C9,0.0165,0.3951,0.0
M2_CYP2C9,3,CYP2C9,0.0165,0.3951,0.0
M2_CYP2C9,3,CYP2C9,0.0165,0.3951,0.0
M2_CYP3A4,3,CYP3A4,0.0165,0.3951,0.0
M2_CYP3A4,3,CYP3A4,0.0165,0.3951,0.0
M2_CYP2C9,3,CYP2C9,0.0165,0.3951,0.0
M2_CYP3A4,3,CYP3A4,0.0165,0.3951,0.0
M2_CYP3A4,3,CYP3A4,0.0165,0.3951,0.0
M2_SULT1A1,3,SULT1A1,0.0124,0.2964,0.0
M2_MAO-A,3,MAO-A,0.0124,0.2964,0.0
M2_CYP1A2,3,CYP1A2,0.0124,0.2964,0.0
M2_CYP1A2,3,CYP1A2,0.0124,0.2964,0.0
M2_CYP2C9,3,CYP2C9,0.0124,0.2964,0.0
M2_UGT1A1,3,UGT1A1,0.0124,0.2964,0.0
M2_CYP1A2,3,CYP1A2,0.0124,0.2964,0.0
M2_CYP1A2,3,CYP1A2,0.0124,0.2964,0.0
M2_SULT1A1,3,SULT1A1,0.0124,0.2964,0.0
M2_MAO-A,3,MAO-A,0.0124,0.2964,0.0
M2_CYP2C9,3,CYP2C9,0.0124,0.2964,0.0
M2_UGT1A1,3,UGT1A1,0.0124,0.2964,0.0
M2_CYP3A4,3,CYP3A4,0.0124,0.2964,0.0
M2_CYP3A4,3,CYP3A4,0.0124,0.2964,0.0
M2_CYP1A2,3,CYP1A2,0.0124,0.2964,0.0
M2_CYP1A2,3,CYP1A2,0.0124,0.2964,0.0
M2_CYP1A2,3,CYP1A2,0.0124,0.2964,0.0
M2_CYP3A4,3,CYP3A4,0.0124,0.2964,0.0
