Drug,Hour,Organ,Conc_umol_L,Kp
Donepezil,0.0,blood,811.06719368,1.0
Donepezil,0.0,lung,0.0,151.5305
Donepezil,0.0,liver,0.0,1129.0157
Donepezil,0.0,kidney,0.0,55.5137
Donepezil,0.0,muscle,0.0,20.3376
Donepezil,0.0,fat,0.0,171080.2988
Donepezil,0.0,brain,0.0,3081.7684
Donepezil,0.0,gut,0.0,413.6185
Donepezil,0.241,blood,8.49674199,1.0
Donepezil,0.241,lung,1478.41434586,151.5305
Donepezil,0.241,liver,387.09697963,1129.0157
Donepezil,0.241,kidney,828.07727166,55.5137
Donepezil,0.241,muscle,12.8821365,20.3376
Donepezil,0.241,fat,8.7659017,171080.2988
Donepezil,0.241,brain,257.371793,3081.7684
Donepezil,0.241,gut,786.35898145,413.6185
Donepezil,0.482,blood,6.9198956,1.0
Donepezil,0.482,lung,1291.58715619,151.5305
Donepezil,0.482,liver,453.53112561,1129.0157
Donepezil,0.482,kidney,506.5539635,55.5137
Donepezil,0.482,muscle,14.98808905,20.3376
Donepezil,0.482,fat,10.35403441,171080.2988
Donepezil,0.482,brain,303.40327952,3081.7684
Donepezil,0.482,gut,886.5366637,413.6185
Donepezil,0.724,blood,5.85097123,1.0
Donepezil,0.724,lung,1115.48892525,151.5305
Donepezil,0.724,liver,507.3853236,1129.0157
Donepezil,0.724,kidney,358.02816744,55.5137
Donepezil,0.724,muscle,16.6570127,20.3376
Donepezil,0.724,fat,11.67351544,171080.2988
Donepezil,0.724,brain,341.42678242,3081.7684
Donepezil,0.724,gut,956.38316592,413.6185
Donepezil,0.965,blood,5.05524633,1.0
Donepezil,0.965,lung,961.40236104,151.5305
Donepezil,0.965,liver,552.22767895,1129.0157
Donepezil,0.965,kidney,280.20601865,55.5137
Donepezil,0.965,muscle,18.01194746,20.3376
Donepezil,0.965,fat,12.80199872,171080.2988
Donepezil,0.965,brain,373.74380459,3081.7684
Donepezil,0.965,gut,1004.73670107,413.6185
Donepezil,1.206,blood,4.42885393,1.0
Donepezil,1.206,lung,830.53250748,151.5305
Donepezil,1.206,liver,590.12476596,1129.0157
Donepezil,1.206,kidney,233.04673883,55.5137
Donepezil,1.206,muscle,19.12472507,20.3376
Donepezil,1.206,fat,13.78405758,171080.2988
Donepezil,1.206,brain,401.67819215,3081.7684
Donepezil,1.206,gut,1036.90799114,413.6185
Donepezil,1.447,blood,3.92075704,1.0
Donepezil,1.447,lung,720.76230135,151.5305
Donepezil,1.447,liver,622.44540862,1129.0157
Donepezil,1.447,kidney,200.55683912,55.5137
Donepezil,1.447,muscle,20.04324157,20.3376
Donepezil,1.447,fat,14.6489884,171080.2988
Donepezil,1.447,brain,426.10164277,3081.7684
Donepezil,1.447,gut,1056.50733866,413.6185
Donepezil,1.688,blood,3.50206165,1.0
Donepezil,1.688,lung,629.15187815,151.5305
Donepezil,1.688,liver,650.19079471,1129.0157
Donepezil,1.688,kidney,176.08910605,55.5137
Donepezil,1.688,muscle,20.80268582,20.3376
Donepezil,1.688,fat,15.41810358,171080.2988
Donepezil,1.688,brain,447.64910416,3081.7684
Donepezil,1.688,gut,1066.20789593,413.6185
Donepezil,1.93,blood,3.15406811,1.0
Donepezil,1.93,lung,552.81867339,151.5305
Donepezil,1.93,liver,674.13869989,1129.0157
Donepezil,1.93,kidney,156.67525649,55.5137
Donepezil,1.93,muscle,21.43046658,20.3376
Donepezil,1.93,fat,16.10790322,171080.2988
Donepezil,1.93,brain,466.81254784,3081.7684
Donepezil,1.93,gut,1068.08907322,413.6185
Donepezil,2.171,blood,2.86331678,1.0
Donepezil,2.171,lung,489.21000373,151.5305
Donepezil,2.171,liver,694.91332179,1129.0157
Donepezil,2.171,kidney,140.83317529,55.5137
Donepezil,2.171,muscle,21.94861368,20.3376
Donepezil,2.171,fat,16.73160016,171080.2988
Donepezil,2.171,brain,483.98613483,3081.7684
Donepezil,2.171,gut,1063.80997929,413.6185
Donepezil,2.412,blood,2.61942599,1.0
Donepezil,2.412,lung,436.15369029,151.5305
Donepezil,2.412,liver,713.02398221,1129.0157
Donepezil,2.412,kidney,127.71171625,55.5137
Donepezil,2.412,muscle,22.37511895,20.3376
Donepezil,2.412,fat,17.29995833,171080.2988
Donepezil,2.412,brain,499.49108911,3081.7684
Donepezil,2.412,gut,1054.7102085,413.6185
Donepezil,2.653,blood,2.41417348,1.0
Donepezil,2.653,lung,391.83267018,151.5305
Donepezil,2.653,liver,728.8897342,1129.0157
Donepezil,2.653,kidney,116.75138925,55.5137
Donepezil,2.653,muscle,22.72479462,20.3376
Donepezil,2.653,fat,17.82182169,171080.2988
Donepezil,2.653,brain,513.59142129,3081.7684
Donepezil,2.653,gut,1041.87659019,413.6185
Donepezil,2.894,blood,2.24082749,1.0
Donepezil,2.894,lung,354.73879343,151.5305
Donepezil,2.894,liver,742.85693433,1129.0157
Donepezil,2.894,kidney,107.54562551,55.5137
Donepezil,2.894,muscle,23.0098892,20.3376
Donepezil,2.894,fat,18.30449002,171080.2988
Donepezil,2.894,brain,526.50511345,3081.7684
Donepezil,2.894,gut,1026.19210978,413.6185
Donepezil,3.136,blood,2.09394112,1.0
Donepezil,3.136,lung,323.62439864,151.5305
Donepezil,3.136,liver,755.21256825,1129.0157
Donepezil,3.136,kidney,99.77995962,55.5137
Donepezil,3.136,muscle,23.24055596,20.3376
Donepezil,3.136,fat,18.75400297,171080.2988
Donepezil,3.136,brain,538.41257852,3081.7684
Donepezil,3.136,gut,1008.37362216,413.6185
Donepezil,3.377,blood,1.96897857,1.0
Donepezil,3.377,lung,297.45912258,151.5305
Donepezil,3.377,liver,766.19491675,1129.0157
Donepezil,3.377,kidney,93.20313831,55.5137
Donepezil,3.377,muscle,23.42522829,20.3376
Donepezil,3.377,fat,19.1753671,171080.2988
Donepezil,3.377,brain,549.46342507,3081.7684
Donepezil,3.377,gut,989.00218708,413.6185
Donepezil,3.618,blood,1.86223687,1.0
Donepezil,3.618,lung,275.39241604,151.5305
Donepezil,3.618,liver,776.00211012,1129.0157
Donepezil,3.618,kidney,87.61085627,55.5137
Donepezil,3.618,muscle,23.57092116,20.3376
Donepezil,3.618,fat,19.57273769,171080.2988
Donepezil,3.618,brain,559.78187697,3081.7684
Donepezil,3.618,gut,968.54752356,413.6185
Donepezil,3.859,blood,1.7706452,1.0
Donepezil,3.859,lung,256.72238707,151.5305
Donepezil,3.859,liver,784.79917329,1129.0157
Donepezil,3.859,kidney,82.83569693,55.5137
Donepezil,3.859,muscle,23.68347944,20.3376
Donepezil,3.859,fat,19.94956851,171080.2988
Donepezil,3.859,brain,569.47123675,3081.7684
Donepezil,3.859,gut,947.38812057,413.6185
Donepezil,4.101,blood,1.69167651,1.0
Donepezil,4.101,lung,240.86975856,151.5305
Donepezil,4.101,liver,792.72378308,1129.0157
Donepezil,4.101,kidney,78.73987111,55.5137
Donepezil,4.101,muscle,23.76778089,20.3376
Donepezil,4.101,fat,20.30873415,171080.2988
Donepezil,4.101,brain,578.61753136,3081.7684
Donepezil,4.101,gut,925.82767957,413.6185
Donepezil,4.342,blood,1.62324082,1.0
Donepezil,4.342,lung,227.35639643,151.5305
Donepezil,4.342,liver,799.89101948,1129.0157
Donepezil,4.342,kidney,75.20975391,55.5137
Donepezil,4.342,muscle,23.82790369,20.3376
Donepezil,4.342,fat,20.65263091,171080.2988
Donepezil,4.342,brain,587.29252083,3081.7684
Donepezil,4.342,gut,904.10865441,413.6185
Donepezil,4.583,blood,1.56359988,1.0
Donepezil,4.583,lung,215.78757906,151.5305
Donepezil,4.583,liver,806.39727945,1129.0157
Donepezil,4.583,kidney,72.15155174,55.5137
Donepezil,4.583,muscle,23.86726455,20.3376
Donepezil,4.583,fat,20.98325996,171080.2988
Donepezil,4.583,brain,595.55617615,3081.7684
Donepezil,4.583,gut,882.42338318,413.6185
Donepezil,4.824,blood,1.51134067,1.0
Donepezil,4.824,lung,205.83728429,151.5305
Donepezil,4.824,liver,812.32348709,1129.0157
Donepezil,4.824,kidney,69.48771147,55.5137
Donepezil,4.824,muscle,23.88873194,20.3376
Donepezil,4.824,fat,21.30229548,171080.2988
Donepezil,4.824,brain,603.45871097,3081.7684
Donepezil,4.824,gut,860.92320793,413.6185
Donepezil,5.065,blood,1.46526453,1.0
Donepezil,5.065,lung,197.23624217,151.5305
