Day,Drug,Concentration_Pct,Half_Life_Days
0.0,Donepezil,39525.6917,2.92
0.12,Donepezil,38413.4745,2.92
0.24,Donepezil,37332.5542,2.92
0.36,Donepezil,36282.0499,2.92
0.48,Donepezil,35261.1059,2.92
0.6,Donepezil,34268.8903,2.92
0.72,Donepezil,33304.5948,2.92
0.84,Donepezil,32367.4336,2.92
0.96,Donepezil,31456.6434,2.92
1.08,Donepezil,30571.4819,2.92
1.2,Donepezil,29711.2281,2.92
1.32,Donepezil,28875.1811,2.92
1.44,Donepezil,28062.6596,2.92
1.56,Donepezil,27273.0018,2.92
1.68,Donepezil,26505.5643,2.92
1.8,Donepezil,25759.7217,2.92
1.92,Donepezil,25034.8665,2.92
2.04,Donepezil,24330.408,2.92
2.16,Donepezil,23645.7723,2.92
2.28,Donepezil,22980.4017,2.92
2.4,Donepezil,22333.754,2.92
2.53,Donepezil,21705.3024,2.92
2.65,Donepezil,21094.5349,2.92
2.77,Donepezil,20500.9538,2.92
2.89,Donepezil,19924.0755,2.92
3.01,Donepezil,19363.4301,2.92
3.13,Donepezil,18818.5607,2.92
3.25,Donepezil,18289.0234,2.92
3.37,Donepezil,17774.3869,2.92
3.49,Donepezil,17274.2317,2.92
3.61,Donepezil,16788.1505,2.92
3.73,Donepezil,16315.7472,2.92
3.85,Donepezil,15856.6368,2.92
3.97,Donepezil,15410.4454,2.92
4.09,Donepezil,14976.8094,2.92
4.21,Donepezil,14555.3756,2.92
4.33,Donepezil,14145.8005,2.92
4.45,Donepezil,13747.7505,2.92
4.57,Donepezil,13360.9013,2.92
4.69,Donepezil,12984.9376,2.92
4.81,Donepezil,12619.5532,2.92
4.93,Donepezil,12264.4504,2.92
5.05,Donepezil,11919.3399,2.92
5.17,Donepezil,11583.9405,2.92
5.29,Donepezil,11257.9789,2.92
5.41,Donepezil,10941.1895,2.92
5.53,Donepezil,10633.3144,2.92
5.65,Donepezil,10334.1025,2.92
5.77,Donepezil,10043.3103,2.92
5.89,Donepezil,9760.7006,2.92
6.01,Donepezil,9486.0433,2.92
6.13,Donepezil,9219.1147,2.92
6.25,Donepezil,8959.6971,2.92
6.37,Donepezil,8707.5794,2.92
6.49,Donepezil,8462.556,2.92
6.61,Donepezil,8224.4273,2.92
6.73,Donepezil,7992.9994,2.92
6.85,Donepezil,7768.0836,2.92
6.97,Donepezil,7549.4968,2.92
7.09,Donepezil,7337.0608,2.92
7.21,Donepezil,7130.6025,2.92
7.33,Donepezil,6929.9538,2.92
7.45,Donepezil,6734.9512,2.92
7.58,Donepezil,6545.4358,2.92
7.7,Donepezil,6361.2532,2.92
7.82,Donepezil,6182.2533,2.92
7.94,Donepezil,6008.2903,2.92
8.06,Donepezil,5839.2224,2.92
8.18,Donepezil,5674.912,2.92
8.3,Donepezil,5515.2251,2.92
8.42,Donepezil,5360.0317,2.92
8.54,Donepezil,5209.2052,2.92
8.66,Donepezil,5062.6229,2.92
8.78,Donepezil,4920.1653,2.92
8.9,Donepezil,4781.7163,2.92
9.02,Donepezil,4647.1631,2.92
9.14,Donepezil,4516.3962,2.92
9.26,Donepezil,4389.3089,2.92
9.38,Donepezil,4265.7977,2.92
9.5,Donepezil,4145.762,2.92
9.62,Donepezil,4029.104,2.92
9.74,Donepezil,3915.7287,2.92
9.86,Donepezil,3805.5436,2.92
9.98,Donepezil,3698.4591,2.92
10.1,Donepezil,3594.3878,2.92
10.22,Donepezil,3493.245,2.92
10.34,Donepezil,3394.9482,2.92
10.46,Donepezil,3299.4175,2.92
10.58,Donepezil,3206.5748,2.92
10.7,Donepezil,3116.3447,2.92
10.82,Donepezil,3028.6536,2.92
10.94,Donepezil,2943.43,2.92
11.06,Donepezil,2860.6046,2.92
11.18,Donepezil,2780.1098,2.92
11.3,Donepezil,2701.88,2.92
11.42,Donepezil,2625.8515,2.92
11.54,Donepezil,2551.9625,2.92
11.66,Donepezil,2480.1525,2.92
11.78,Donepezil,2410.3633,2.92
11.9,Donepezil,2342.5379,2.92
12.02,Donepezil,2276.621,2.92
12.14,Donepezil,2212.5589,2.92
12.26,Donepezil,2150.2995,2.92
12.38,Donepezil,2089.792,2.92
12.51,Donepezil,2030.9872,2.92
12.63,Donepezil,1973.837,2.92
12.75,Donepezil,1918.295,2.92
12.87,Donepezil,1864.316,2.92
12.99,Donepezil,1811.8558,2.92
13.11,Donepezil,1760.8718,2.92
13.23,Donepezil,1711.3225,2.92
13.35,Donepezil,1663.1674,2.92
13.47,Donepezil,1616.3674,2.92
13.59,Donepezil,1570.8843,2.92
13.71,Donepezil,1526.681,2.92
13.83,Donepezil,1483.7216,2.92
