Day,Drug,Concentration_Pct,Half_Life_Days
0.0,Lecanemab,172.5268,0.21
0.12,Lecanemab,116.0098,0.21
0.24,Lecanemab,78.0069,0.21
0.36,Lecanemab,52.4531,0.21
0.48,Lecanemab,35.2703,0.21
0.6,Lecanemab,23.7163,0.21
0.72,Lecanemab,15.9472,0.21
0.84,Lecanemab,10.7232,0.21
0.96,Lecanemab,7.2104,0.21
1.08,Lecanemab,4.8484,0.21
1.2,Lecanemab,3.2602,0.21
1.32,Lecanemab,2.1922,0.21
1.44,Lecanemab,1.4741,0.21
1.56,Lecanemab,0.9912,0.21
1.68,Lecanemab,0.6665,0.21
1.8,Lecanemab,0.4482,0.21
1.92,Lecanemab,0.3013,0.21
2.04,Lecanemab,0.2026,0.21
2.16,Lecanemab,0.1363,0.21
2.28,Lecanemab,0.0916,0.21
2.4,Lecanemab,0.0616,0.21
2.53,Lecanemab,0.0414,0.21
2.65,Lecanemab,0.0279,0.21
2.77,Lecanemab,0.0187,0.21
2.89,Lecanemab,0.0126,0.21
3.01,Lecanemab,0.0085,0.21
3.13,Lecanemab,0.0057,0.21
3.25,Lecanemab,0.0038,0.21
3.37,Lecanemab,0.0026,0.21
3.49,Lecanemab,0.0017,0.21
3.61,Lecanemab,0.0012,0.21
3.73,Lecanemab,0.0008,0.21
3.85,Lecanemab,0.0005,0.21
3.97,Lecanemab,0.0004,0.21
4.09,Lecanemab,0.0002,0.21
4.21,Lecanemab,0.0002,0.21
4.33,Lecanemab,0.0001,0.21
4.45,Lecanemab,0.0001,0.21
4.57,Lecanemab,0.0,0.21
4.69,Lecanemab,0.0,0.21
4.81,Lecanemab,0.0,0.21
4.93,Lecanemab,0.0,0.21
5.05,Lecanemab,0.0,0.21
5.17,Lecanemab,0.0,0.21
5.29,Lecanemab,0.0,0.21
5.41,Lecanemab,0.0,0.21
5.53,Lecanemab,0.0,0.21
5.65,Lecanemab,0.0,0.21
5.77,Lecanemab,0.0,0.21
5.89,Lecanemab,0.0,0.21
6.01,Lecanemab,0.0,0.21
6.13,Lecanemab,0.0,0.21
6.25,Lecanemab,0.0,0.21
6.37,Lecanemab,0.0,0.21
6.49,Lecanemab,0.0,0.21
6.61,Lecanemab,0.0,0.21
6.73,Lecanemab,0.0,0.21
6.85,Lecanemab,0.0,0.21
6.97,Lecanemab,0.0,0.21
7.09,Lecanemab,0.0,0.21
7.21,Lecanemab,0.0,0.21
7.33,Lecanemab,0.0,0.21
7.45,Lecanemab,0.0,0.21
7.58,Lecanemab,0.0,0.21
7.7,Lecanemab,0.0,0.21
7.82,Lecanemab,0.0,0.21
7.94,Lecanemab,0.0,0.21
8.06,Lecanemab,0.0,0.21
8.18,Lecanemab,0.0,0.21
8.3,Lecanemab,0.0,0.21
8.42,Lecanemab,0.0,0.21
8.54,Lecanemab,0.0,0.21
8.66,Lecanemab,0.0,0.21
8.78,Lecanemab,0.0,0.21
8.9,Lecanemab,0.0,0.21
9.02,Lecanemab,0.0,0.21
9.14,Lecanemab,0.0,0.21
9.26,Lecanemab,0.0,0.21
9.38,Lecanemab,0.0,0.21
9.5,Lecanemab,0.0,0.21
9.62,Lecanemab,0.0,0.21
9.74,Lecanemab,0.0,0.21
9.86,Lecanemab,0.0,0.21
9.98,Lecanemab,0.0,0.21
10.1,Lecanemab,0.0,0.21
10.22,Lecanemab,0.0,0.21
10.34,Lecanemab,0.0,0.21
10.46,Lecanemab,0.0,0.21
10.58,Lecanemab,0.0,0.21
10.7,Lecanemab,0.0,0.21
10.82,Lecanemab,0.0,0.21
10.94,Lecanemab,0.0,0.21
11.06,Lecanemab,0.0,0.21
11.18,Lecanemab,0.0,0.21
11.3,Lecanemab,0.0,0.21
11.42,Lecanemab,0.0,0.21
11.54,Lecanemab,0.0,0.21
11.66,Lecanemab,0.0,0.21
11.78,Lecanemab,0.0,0.21
11.9,Lecanemab,0.0,0.21
12.02,Lecanemab,0.0,0.21
12.14,Lecanemab,0.0,0.21
12.26,Lecanemab,0.0,0.21
12.38,Lecanemab,0.0,0.21
12.51,Lecanemab,0.0,0.21
12.63,Lecanemab,0.0,0.21
12.75,Lecanemab,0.0,0.21
12.87,Lecanemab,0.0,0.21
12.99,Lecanemab,0.0,0.21
13.11,Lecanemab,0.0,0.21
13.23,Lecanemab,0.0,0.21
13.35,Lecanemab,0.0,0.21
13.47,Lecanemab,0.0,0.21
13.59,Lecanemab,0.0,0.21
13.71,Lecanemab,0.0,0.21
13.83,Lecanemab,0.0,0.21
13.95,Lecanemab,0.0,0.21
14.07,Lecanemab,0.0,0.21
14.19,Lecanemab,0.0,0.21
14.31,Lecanemab,0.0,0.21
14.43,Lecanemab,0.0,0.21
14.55,Lecanemab,0.0,0.21
14.67,Lecanemab,0.0,0.21
14.79,Lecanemab,0.0,0.21
14.91,Lecanemab,0.0,0.21
15.03,Lecanemab,0.0,0.21
15.15,Lecanemab,0.0,0.21
15.27,Lecanemab,0.0,0.21
15.39,Lecanemab,0.0,0.21
15.51,Lecanemab,0.0,0.21
15.63,Lecanemab,0.0,0.21
15.75,Lecanemab,0.0,0.21
15.87,Lecanemab,0.0,0.21
15.99,Lecanemab,0.0,0.21
16.11,Lecanemab,0.0,0.21
16.23,Lecanemab,0.0,0.21
16.35,Lecanemab,0.0,0.21
16.47,Lecanemab,0.0,0.21
16.59,Lecanemab,0.0,0.21
16.71,Lecanemab,0.0,0.21
16.83,Lecanemab,0.0,0.21
16.95,Lecanemab,0.0,0.21
17.07,Lecanemab,0.0,0.21
17.19,Lecanemab,0.0,0.21
17.31,Lecanemab,0.0,0.21
17.43,Lecanemab,0.0,0.21
17.56,Lecanemab,0.0,0.21
17.68,Lecanemab,0.0,0.21
17.8,Lecanemab,0.0,0.21
17.92,Lecanemab,0.0,0.21
18.04,Lecanemab,0.0,0.21
18.16,Lecanemab,0.0,0.21
18.28,Lecanemab,0.0,0.21
18.4,Lecanemab,0.0,0.21
18.52,Lecanemab,0.0,0.21
18.64,Lecanemab,0.0,0.21
18.76,Lecanemab,0.0,0.21
18.88,Lecanemab,0.0,0.21
19.0,Lecanemab,0.0,0.21
19.12,Lecanemab,0.0,0.21
19.24,Lecanemab,0.0,0.21
19.36,Lecanemab,0.0,0.21
19.48,Lecanemab,0.0,0.21
19.6,Lecanemab,0.0,0.21
19.72,Lecanemab,0.0,0.21
19.84,Lecanemab,0.0,0.21
19.96,Lecanemab,0.0,0.21
20.08,Lecanemab,0.0,0.21
20.2,Lecanemab,0.0,0.21
20.32,Lecanemab,0.0,0.21
20.44,Lecanemab,0.0,0.21
20.56,Lecanemab,0.0,0.21
20.68,Lecanemab,0.0,0.21
20.8,Lecanemab,0.0,0.21
20.92,Lecanemab,0.0,0.21
21.04,Lecanemab,0.0,0.21
21.16,Lecanemab,0.0,0.21
21.28,Lecanemab,0.0,0.21
21.4,Lecanemab,0.0,0.21
21.52,Lecanemab,0.0,0.21
21.64,Lecanemab,0.0,0.21
21.76,Lecanemab,0.0,0.21
21.88,Lecanemab,0.0,0.21
22.0,Lecanemab,0.0,0.21
22.12,Lecanemab,0.0,0.21
22.24,Lecanemab,0.0,0.21
22.36,Lecanemab,0.0,0.21
22.48,Lecanemab,0.0,0.21
22.61,Lecanemab,0.0,0.21
22.73,Lecanemab,0.0,0.21
22.85,Lecanemab,0.0,0.21
22.97,Lecanemab,0.0,0.21
23.09,Lecanemab,0.0,0.21
23.21,Lecanemab,0.0,0.21
23.33,Lecanemab,0.0,0.21
23.45,Lecanemab,0.0,0.21
23.57,Lecanemab,0.0,0.21
23.69,Lecanemab,0.0,0.21
23.81,Lecanemab,0.0,0.21
23.93,Lecanemab,0.0,0.21
24.05,Lecanemab,0.0,0.21
24.17,Lecanemab,0.0,0.21
24.29,Lecanemab,0.0,0.21
24.41,Lecanemab,0.0,0.21
24.53,Lecanemab,0.0,0.21
24.65,Lecanemab,0.0,0.21
24.77,Lecanemab,0.0,0.21
24.89,Lecanemab,0.0,0.21
25.01,Lecanemab,0.0,0.21
25.13,Lecanemab,0.0,0.21
25.25,Lecanemab,0.0,0.21
25.37,Lecanemab,0.0,0.21
25.49,Lecanemab,0.0,0.21
25.61,Lecanemab,0.0,0.21
25.73,Lecanemab,0.0,0.21
25.85,Lecanemab,0.0,0.21
25.97,Lecanemab,0.0,0.21
26.09,Lecanemab,0.0,0.21
26.21,Lecanemab,0.0,0.21
26.33,Lecanemab,0.0,0.21
26.45,Lecanemab,0.0,0.21
26.57,Lecanemab,0.0,0.21
26.69,Lecanemab,0.0,0.21
26.81,Lecanemab,0.0,0.21
26.93,Lecanemab,0.0,0.21
27.05,Lecanemab,0.0,0.21
27.17,Lecanemab,0.0,0.21
27.29,Lecanemab,0.0,0.21
27.41,Lecanemab,0.0,0.21
27.54,Lecanemab,0.0,0.21
27.66,Lecanemab,0.0,0.21
27.78,Lecanemab,0.0,0.21
27.9,Lecanemab,0.0,0.21
28.02,Lecanemab,0.0,0.21
28.14,Lecanemab,0.0,0.21
28.26,Lecanemab,0.0,0.21
28.38,Lecanemab,0.0,0.21
28.5,Lecanemab,0.0,0.21
28.62,Lecanemab,0.0,0.21
28.74,Lecanemab,0.0,0.21
28.86,Lecanemab,0.0,0.21
28.98,Lecanemab,0.0,0.21
29.1,Lecanemab,0.0,0.21
29.22,Lecanemab,0.0,0.21
29.34,Lecanemab,0.0,0.21
29.46,Lecanemab,0.0,0.21
29.58,Lecanemab,0.0,0.21
