Drug,Hour,Organ,Conc_umol_L,Kp
Lecanemab,0.0,blood,125.43395001,1.0
Lecanemab,0.0,lung,0.0,0.8443
Lecanemab,0.0,liver,0.0,0.789
Lecanemab,0.0,kidney,0.0,0.8734
Lecanemab,0.0,muscle,0.0,0.9034
Lecanemab,0.0,fat,0.0,0.6662
Lecanemab,0.0,brain,0.0,0.7628
Lecanemab,0.0,gut,0.0,0.8162
Lecanemab,0.241,blood,25.74281334,1.0
Lecanemab,0.241,lung,17.53889986,0.8443
Lecanemab,0.241,liver,17.0325813,0.789
Lecanemab,0.241,kidney,18.15816398,0.8734
Lecanemab,0.241,muscle,10.49542415,0.9034
Lecanemab,0.241,fat,7.18463456,0.6662
Lecanemab,0.241,brain,16.89078255,0.7628
Lecanemab,0.241,gut,17.17868888,0.8162
Lecanemab,0.482,blood,18.19734507,1.0
Lecanemab,0.482,lung,12.31781918,0.8443
Lecanemab,0.482,liver,11.6237375,0.789
Lecanemab,0.482,kidney,12.74459695,0.8734
Lecanemab,0.482,muscle,12.04651085,0.9034
Lecanemab,0.482,fat,8.42516949,0.6662
Lecanemab,0.482,brain,11.31103493,0.7628
Lecanemab,0.482,gut,11.94701703,0.8162
Lecanemab,0.724,blood,16.82555705,1.0
Lecanemab,0.724,lung,11.37007719,0.8443
Lecanemab,0.724,liver,10.64793559,0.789
Lecanemab,0.724,kidney,11.76205386,0.8734
Lecanemab,0.724,muscle,12.20284406,0.9034
Lecanemab,0.724,fat,8.68020922,0.6662
Lecanemab,0.724,brain,10.30786614,0.7628
Lecanemab,0.724,gut,10.99943527,0.8162
Lecanemab,0.965,blood,16.5053517,1.0
Lecanemab,0.965,lung,11.15017299,0.8443
Lecanemab,0.965,liver,10.42705383,0.789
Lecanemab,0.965,kidney,11.5342102,0.8734
Lecanemab,0.965,muscle,12.13735905,0.9034
Lecanemab,0.965,fat,8.73835652,0.6662
Lecanemab,0.965,brain,10.08412729,0.7628
Lecanemab,0.965,gut,10.78149774,0.8162
Lecanemab,1.206,blood,16.3654154,1.0
Lecanemab,1.206,lung,11.05498444,0.8443
Lecanemab,1.206,liver,10.33546749,0.789
Lecanemab,1.206,kidney,11.43569308,0.8734
Lecanemab,1.206,muscle,12.04455571,0.9034
Lecanemab,1.206,fat,8.74344289,0.6662
Lecanemab,1.206,brain,9.99382793,0.7628
Lecanemab,1.206,gut,10.68857977,0.8162
Lecanemab,1.447,blood,16.25726305,1.0
Lecanemab,1.447,lung,10.98183701,0.8443
Lecanemab,1.447,liver,10.26660513,0.789
Lecanemab,1.447,kidney,11.36000961,0.8734
Lecanemab,1.447,muscle,11.95420136,0.9034
Lecanemab,1.447,fat,8.72646326,0.6662
