Day,Drug,Concentration_Pct,Half_Life_Days
0.0,Nusinersen,615.2584,163.0
0.12,Nusinersen,614.9439,163.0
0.24,Nusinersen,614.6295,163.0
0.36,Nusinersen,614.3154,163.0
0.48,Nusinersen,614.0013,163.0
0.6,Nusinersen,613.6875,163.0
0.72,Nusinersen,613.3738,163.0
0.84,Nusinersen,613.0602,163.0
0.96,Nusinersen,612.7468,163.0
1.08,Nusinersen,612.4336,163.0
1.2,Nusinersen,612.1205,163.0
1.32,Nusinersen,611.8076,163.0
1.44,Nusinersen,611.4949,163.0
1.56,Nusinersen,611.1823,163.0
1.68,Nusinersen,610.8699,163.0
1.8,Nusinersen,610.5576,163.0
1.92,Nusinersen,610.2455,163.0
2.04,Nusinersen,609.9335,163.0
2.16,Nusinersen,609.6218,163.0
2.28,Nusinersen,609.3101,163.0
2.4,Nusinersen,608.9987,163.0
2.53,Nusinersen,608.6873,163.0
2.65,Nusinersen,608.3762,163.0
2.77,Nusinersen,608.0652,163.0
2.89,Nusinersen,607.7544,163.0
3.01,Nusinersen,607.4437,163.0
3.13,Nusinersen,607.1332,163.0
3.25,Nusinersen,606.8228,163.0
3.37,Nusinersen,606.5126,163.0
3.49,Nusinersen,606.2026,163.0
3.61,Nusinersen,605.8927,163.0
3.73,Nusinersen,605.583,163.0
3.85,Nusinersen,605.2734,163.0
3.97,Nusinersen,604.964,163.0
4.09,Nusinersen,604.6548,163.0
4.21,Nusinersen,604.3457,163.0
4.33,Nusinersen,604.0367,163.0
4.45,Nusinersen,603.728,163.0
4.57,Nusinersen,603.4193,163.0
4.69,Nusinersen,603.1109,163.0
4.81,Nusinersen,602.8026,163.0
4.93,Nusinersen,602.4944,163.0
5.05,Nusinersen,602.1865,163.0
5.17,Nusinersen,601.8786,163.0
5.29,Nusinersen,601.571,163.0
5.41,Nusinersen,601.2634,163.0
5.53,Nusinersen,600.9561,163.0
5.65,Nusinersen,600.6489,163.0
5.77,Nusinersen,600.3418,163.0
5.89,Nusinersen,600.035,163.0
6.01,Nusinersen,599.7282,163.0
6.13,Nusinersen,599.4217,163.0
6.25,Nusinersen,599.1152,163.0
6.37,Nusinersen,598.809,163.0
6.49,Nusinersen,598.5029,163.0
6.61,Nusinersen,598.1969,163.0
6.73,Nusinersen,597.8912,163.0
6.85,Nusinersen,597.5855,163.0
6.97,Nusinersen,597.28,163.0
7.09,Nusinersen,596.9747,163.0
7.21,Nusinersen,596.6696,163.0
7.33,Nusinersen,596.3645,163.0
7.45,Nusinersen,596.0597,163.0
7.58,Nusinersen,595.755,163.0
7.7,Nusinersen,595.4505,163.0
7.82,Nusinersen,595.1461,163.0
7.94,Nusinersen,594.8418,163.0
8.06,Nusinersen,594.5378,163.0
8.18,Nusinersen,594.2339,163.0
8.3,Nusinersen,593.9301,163.0
8.42,Nusinersen,593.6265,163.0
8.54,Nusinersen,593.323,163.0
8.66,Nusinersen,593.0197,163.0
8.78,Nusinersen,592.7166,163.0
8.9,Nusinersen,592.4136,163.0
9.02,Nusinersen,592.1108,163.0
9.14,Nusinersen,591.8081,163.0
9.26,Nusinersen,591.5056,163.0
9.38,Nusinersen,591.2032,163.0
9.5,Nusinersen,590.901,163.0
9.62,Nusinersen,590.5989,163.0
9.74,Nusinersen,590.297,163.0
9.86,Nusinersen,589.9953,163.0
9.98,Nusinersen,589.6937,163.0
10.1,Nusinersen,589.3922,163.0
10.22,Nusinersen,589.0909,163.0
10.34,Nusinersen,588.7898,163.0
10.46,Nusinersen,588.4888,163.0
10.58,Nusinersen,588.188,163.0
10.7,Nusinersen,587.8873,163.0
10.82,Nusinersen,587.5868,163.0
10.94,Nusinersen,587.2864,163.0
11.06,Nusinersen,586.9862,163.0
11.18,Nusinersen,586.6862,163.0
11.3,Nusinersen,586.3863,163.0
11.42,Nusinersen,586.0865,163.0
11.54,Nusinersen,585.7869,163.0
11.66,Nusinersen,585.4875,163.0
11.78,Nusinersen,585.1882,163.0
11.9,Nusinersen,584.889,163.0
12.02,Nusinersen,584.5901,163.0
12.14,Nusinersen,584.2912,163.0
12.26,Nusinersen,583.9925,163.0
12.38,Nusinersen,583.694,163.0
12.51,Nusinersen,583.3956,163.0
12.63,Nusinersen,583.0974,163.0
12.75,Nusinersen,582.7994,163.0
12.87,Nusinersen,582.5014,163.0
12.99,Nusinersen,582.2037,163.0
13.11,Nusinersen,581.9061,163.0
13.23,Nusinersen,581.6086,163.0
13.35,Nusinersen,581.3113,163.0
13.47,Nusinersen,581.0141,163.0
13.59,Nusinersen,580.7171,163.0
13.71,Nusinersen,580.4203,163.0
13.83,Nusinersen,580.1236,163.0
13.95,Nusinersen,579.827,163.0
14.07,Nusinersen,579.5306,163.0
14.19,Nusinersen,579.2344,163.0
14.31,Nusinersen,578.9383,163.0
14.43,Nusinersen,578.6423,163.0
14.55,Nusinersen,578.3465,163.0
14.67,Nusinersen,578.0509,163.0
14.79,Nusinersen,577.7554,163.0
14.91,Nusinersen,577.4601,163.0
15.03,Nusinersen,577.1649,163.0
15.15,Nusinersen,576.8698,163.0
15.27,Nusinersen,576.575,163.0
