Day,Drug,Concentration_Pct,Half_Life_Days
0.0,Temozolomide,77259.8506,0.07
0.12,Temozolomide,23489.2025,0.07
0.24,Temozolomide,7141.3888,0.07
0.36,Temozolomide,2171.1863,0.07
0.48,Temozolomide,660.1027,0.07
0.6,Temozolomide,200.6901,0.07
0.72,Temozolomide,61.0155,0.07
0.84,Temozolomide,18.5505,0.07
0.96,Temozolomide,5.6399,0.07
1.08,Temozolomide,1.7147,0.07
1.2,Temozolomide,0.5213,0.07
1.32,Temozolomide,0.1585,0.07
1.44,Temozolomide,0.0482,0.07
1.56,Temozolomide,0.0147,0.07
1.68,Temozolomide,0.0045,0.07
1.8,Temozolomide,0.0014,0.07
1.92,Temozolomide,0.0004,0.07
2.04,Temozolomide,0.0001,0.07
2.16,Temozolomide,0.0,0.07
2.28,Temozolomide,0.0,0.07
2.4,Temozolomide,0.0,0.07
2.53,Temozolomide,0.0,0.07
2.65,Temozolomide,0.0,0.07
2.77,Temozolomide,0.0,0.07
2.89,Temozolomide,0.0,0.07
3.01,Temozolomide,0.0,0.07
3.13,Temozolomide,0.0,0.07
3.25,Temozolomide,0.0,0.07
3.37,Temozolomide,0.0,0.07
3.49,Temozolomide,0.0,0.07
3.61,Temozolomide,0.0,0.07
3.73,Temozolomide,0.0,0.07
3.85,Temozolomide,0.0,0.07
3.97,Temozolomide,0.0,0.07
4.09,Temozolomide,0.0,0.07
4.21,Temozolomide,0.0,0.07
4.33,Temozolomide,0.0,0.07
4.45,Temozolomide,0.0,0.07
4.57,Temozolomide,0.0,0.07
4.69,Temozolomide,0.0,0.07
4.81,Temozolomide,0.0,0.07
4.93,Temozolomide,0.0,0.07
5.05,Temozolomide,0.0,0.07
5.17,Temozolomide,0.0,0.07
5.29,Temozolomide,0.0,0.07
5.41,Temozolomide,0.0,0.07
5.53,Temozolomide,0.0,0.07
5.65,Temozolomide,0.0,0.07
5.77,Temozolomide,0.0,0.07
5.89,Temozolomide,0.0,0.07
6.01,Temozolomide,0.0,0.07
6.13,Temozolomide,0.0,0.07
6.25,Temozolomide,0.0,0.07
6.37,Temozolomide,0.0,0.07
6.49,Temozolomide,0.0,0.07
6.61,Temozolomide,0.0,0.07
6.73,Temozolomide,0.0,0.07
6.85,Temozolomide,0.0,0.07
6.97,Temozolomide,0.0,0.07
7.09,Temozolomide,0.0,0.07
7.21,Temozolomide,0.0,0.07
7.33,Temozolomide,0.0,0.07
7.45,Temozolomide,0.0,0.07
7.58,Temozolomide,0.0,0.07
7.7,Temozolomide,0.0,0.07
7.82,Temozolomide,0.0,0.07
7.94,Temozolomide,0.0,0.07
8.06,Temozolomide,0.0,0.07
